SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title
24,SOBBUGU12A8C13E95D,336,Miss Machine,ARMAC4T1187FB3FA4C,The Dillinger Escape Plan,7.7775,7,0.381,166.862,4,0,Setting Fire to Sleeping Giants
25,SOBLGCN12AB0183212,278,Sue Thompson - Her Very Best,AR47JEX1187B995D81,SUE THOMPSON,4.8648,10,0.697,137.522,4,0,James (Hold The Ladder Steady)
26,SOPSWQW12A6D4F8781,73,Live,ARGIWFO1187B9B55B7,Five Bolt Main,5.0966,7,0.53,164.672,1,0,Made Like This (Live)
27,SOZQDIU12A58A7BCF6,201,Strictly Confidential,ARNTLGG11E2835DDB9,Clp,8.3113,6,0.687,125.006,4,1,Superconfidential
28,SONYPOM12A8C13B2D7,88,The Real Twang Thang,ARDNS031187B9924F0,Tim Wilson,6.4877,5,0.762,90.022,1,0.971,I Think My Wife Is Running Around On Me (Taco Hell)
29,SOBZBAZ12A6D4F8742,74,Willie Bobo's Finest Hour,AROUOZZ1187B9ABE51,Willie Bobo,8.2542,8,0.812,127.025,4,0.792,Spanish Grease
30,SOVYKGO12AB0187199,372,Shake A Hand,ARH4Z031187B9A71F2,Faye Adams,6.3946,8,0.569,95.957,3,0.689,Crazy Mixed Up World
31,SOGNCJP12A58A80271,832,Occasional Rain,ARB29H41187B98F0EF,Terry Callier,2.5693,6,0.381,110.189,3,0.353,Do You Finally Need A Friend
32,SOLLHMX12AB01846DC,351,The Emperor Falls,AR1Y2PT1187FB5B9CE,John Wesley,4.6232,4,0.283,138.007,4,0.893,The Emperor Falls
33,SOYTPEP12AB0180E7B,340,Best of The Shangri-Las,ARAJPHH1187FB5566A,The Shangri-Las,4.806,10,0.254,130.1,1,0,Twist and Shout
34,SOGXHEG12AB018653E,376,20 Of Her Best,AR0RCMP1187FB3F427,Billie Jo Spears,3.3285,4,0.384,160.839,1,0,It Makes No Difference Now
35,SOOLYAZ12A6701F4A6,88,Who Is Mike Jones?,AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),3.6615,7,0.299,41.993,1,0,Laws Patrolling (Album Version)
36,SOGOSOV12AF72A285E,28,Tibiri Tabara,ARGUVEV1187B98BA17,Sierra Maestra,3.1293,9,0.724,189.646,3,0.674,\xc2\xbfD\xc3\xb3nde va Chichi?
37,SOJXVAH12A8C139700,458,Piouhgd + Widowermaker!,ARPQ4Z01187FB3A736,Butthole Surfers,0.8468,4,0.726,130.586,4,0.42,"Barking Dogs (From Piouhgd"")"""
38,SOVXMTN12A8C135A18,764,Profities,ARNQAVF11F4C844C04,Despina Vandi,3.0983,8,0.532,128.292,4,0.83,OUTE ENA EFHARISTO
39,SORSECL12AB0182267,463,Cracks,ARXUT4W1187FB48BEB,Javier Navarrete,8.8354,3,0,90.932,3,1,Midnight Swim
40,SOOGFBZ12AC3DF7FF2,55,Pieces Of Time,ARDD1RC1187B9B52B4,Jacob Young,6.3064,1,0.611,89.667,4,0.747,In A Subtle Way
41,SOMSBGZ12AB018C4CB,987,The Palest Grey,ARLGWFM1187FB4AC9F,Scarlet's Remains,8.7391,7,0.673,115.061,4,0.731,Spin
42,SONYRZV12AB018AF70,600,A Match & Some Gasoline,ARWYVP51187B98C516,The Suicide Machines,0.686,2,0.421,115.887,4,0.744,Burning In The Aftermath
43,SONQBUB12A6D4F8ED0,59,Jump Back - The Best Of The Rolling Stones_ '71-'93,ARFCUN31187B9AD578,The Rolling Stones,1.4901,9,0.301,139.333,1,0,Angie (1993 Digital Remaster)
44,SOHGKJW12AC468A8BD,247,Lo Mejor con La Orq. Broadway,AR6YDKV1187B989230,Roberto Torres,6.664,0,0.863,117.271,4,0.453,Sabor Guajiro
45,SOINBCU12A6D4F94C0,72,Grown Man,ARV1JVD1187B9AD195,Loudon Wainwright III,0.4844,3,0.544,102.428,4,0.496,Human Cannonball
46,SOTWVQT12A58A79650,776,A Bothered Mind,AR7TTS41187B9B42D3,R.L. Burnside,7.7856,2,0,89.984,4,0,Glory Be
47,SOTSEJY12AB0180F56,794,Greatest Hits,ART3O5Z1187B9AB043,Stevie Ray Vaughan,8.7897,1,0.754,116.721,4,0.522,Crossfire
48,SOTSETT12AB01863B8,553,Bluesman,AR5U94U1187FB5CDCF,John Hammond,5.317,7,0.98,123.142,4,0.678,I Can't Be Satisfied
49,SOTUNMH12A6D4FA3E6,442,Etiquette,ARRJNTE1187FB44E12,Casiotone For The Painfully Alone,5.7252,0,0.522,141.919,4,0.445,Nashville Parthenon
50,SOEPPKB12AB018418B,530,Ec8or,AR6IRG41187B9A4D98,Ec8or,7.2338,10,0.005,95.596,4,1,Cocain Ducks
51,SOGKIWV12A6D4F86C4,65,Too Much Too Soon,ARS1OWB1187B99EEAD,The New York Dolls,4.0583,11,0.425,154.953,1,0,Human Being
52,SOPHYIS12AAF3B35A3,253,Bossa Nova Stories,ARGMXQW1187FB54C34,Eliane Elias,1.4281,7,0.391,86.091,5,0.551,The More I See You
53,SOFHBAR12A6701D0FE,59,Love_ Peace & Nappiness,AROEL1B1187B988B90,Lost Boyz,9.792,7,0.715,90.218,4,1,Certain Things We Do
54,SOCPRKM12AB018A2FD,508,Germicide,AR8W8DN1187FB35ED0,The Germs,6.0534,11,0.641,133.144,1,0,Forming
55,SOFGHAM12AB0186412,575,Mafu\xc3\xa1,ARUWLCL1187FB549B8,Yamandu Costa,0.0403,2,0.105,205.317,4,0,Mafu\xc3\xa1
56,SODHVES12A6701CE6B,22,The Road To Hell Part 2,AR3793X1187FB50CB3,Chris Rea,1.16,9,0.222,180.149,4,0,Driving Home For Christmas
57,SOXIATP12AAF3B2184,707,Vanguard Visionaries,ARINEWW1187FB5577E,Perrey And Kingsley,2.6444,0,0.61,102.538,4,0.869,Spooks In Space
58,SOGNQWU12A8AE4868F,899,Be Yourself Tonight,ARDGB6U1187FB3AD07,Eurythmics,7.072,0,0.442,84.164,4,0.853,Tous Les Gar\xc3\xa7ons Et Les Filles
59,SOYQOFI12A6D4F76E1,60,Hometown 2001,AR2J2WF1187FB46271,Francis Dunnery,0.7995,7,0.666,124.175,4,0.698,Too Much Saturn
60,SOVOLGY12A6D4F822B,59,Eat / Kiss: Music For The Films By Andy Warhol,ARUI8651187B9ACF52,John Cale,8.4664,7,0.458,137.004,1,0,Movement 4 [from Kiss] (Album Version)
61,SOMZCVH12AB0182B8E,988,The Ultimate Most Relaxing New Age Piano in the Universe,AR89DTT1187B9A7ED5,Suzanne Ciani,9.5946,7,0.527,106.33,4,0.526,Stream
62,SONXJBL12AAF3B2C0C,861,Classic Gold: Best of All,ARMD0G81187B99A519,Vickie Winans,8.9366,11,0.172,107.961,4,1,Make Me Over
63,SOYWZTU12AB0180E26,163,The Berzerker,AR0VZWC1187B99BA57,The Berzerker,5.6158,1,0.108,174.287,3,0.132,Deform (live)
64,SOLGHDZ12AB0183B11,947,Holy Roller Novocaine,ARF2EHS1187B994F4E,Kings Of Leon,7.9244,0,0.612,116.823,4,0.347,Wicker Chair
65,SOTNTNJ12AAA15FBD6,135,Jeux de dames_ vol. 1 (r\xc3\xa9alisation Ronald Rubinel),ARZKRD01187FB45FD2,Edith Lefel,6.5056,0,0.29,101.972,4,1,An ti chans'
66,SOXZXXV12AAF3B3A67,14,I Will Love Again,ARK4H5K1187B992F74,Taras,0.2542,11,0.056,127.97,4,0,I Will Love Again (JJ's Club Radio)
67,SOPIKEG12A58291636,476,White Trash ......,AR06EB01187FB40150,NOFX,4.5089,4,0.093,152.622,4,0.358,Stickin In My Eye
68,SOIRNBO12AC468D207,515,Murskapunkkia,ARKPDBH1242077DEB1,Murskahumppa,5.1783,7,0.379,110.787,3,1,Ota kiinni
69,SOSBDSF12AB0189007,977,Canci\xc3\xb3n Animal,ARBJSO81187B9BA09B,Soda Stereo,6.6999,7,0.161,112.903,4,1,Entre Can\xc3\xadbales
70,SOIJXXM12A8C1416D6,377,The Man from Snowy River,ARRC2JF1187B9B6A93,Bruce Rowland,0.0354,7,0.469,115.642,4,0.44,Rosemary Recalls
71,SOHMMMC12AB0181C42,657,One World One People,ARNIFX51187FB418EA,Xcultures,3.5277,1,0.652,125.013,4,1,Sudanese Dance
72,SOVJXVJ12A8C13517D,854,Tales Of Wonder,ARCCRTI11F4C845308,White Heart,8.8403,5,0.596,113.277,4,0.872,Where The Thunder Roars (Tales Of Wonder Album Version)
73,SOFZCTA12AB0188D8F,301,Waterbed Hev,ARNVH8S1187FB52F86,Heavy D / McGruff,1.384,5,0.665,96.979,4,0.895,Wanna Be A Player
74,SOLRYQR12A670215BF,3,The Best Of Both Worlds,ARNLO5S1187B9B80CC,Van Halen,9.2926,8,0.455,140.995,1,0.41,Panama (Remastered Album Version)
75,SOCHRXB12A8AE48069,844,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,ARTDQRC1187FB4EFD4,Black Eyed Peas,9.6158,11,0.205,105.206,4,1,Let's Get It Started
76,SOKBBXO12A6701DEA0,56,Things Falling Apart,ARK9TRQ1187B99C095,Nine Inch Nails,6.8926,0,0.05,63.017,4,0.378,Metal
77,SOWHYUG12A58A77FAB,322,Your Funeral... My Trial (2009 Digital Remaster),ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,9.2697,9,0.052,144.603,4,0,She Fell Away (2009 Digital Remaster)
78,SOYSTDI12A6D4F6500,57,Oasis of Love,ARMBYRO1187FB57419,Nadine Renee,9.4166,2,0.883,167.92,4,0.75,Next Time
79,SOOOROX12A6D4F8400,90,60's Triple set,ARWY7I71187FB36C3D,Lesley Gore,6.4893,9,0.386,129.122,1,0,It's My Party
80,SONSPZE12AB01819CE,353,Yeah.  Well_ Anyway....,AR6Y22S1187B99906F,Smartbomb,3.273,0,0.53,132.022,4,0.782,Complicate It
81,SOHWGFU12AB017B036,583,Un Titre de Toune,ARI5P4N1187FB3F44D,Suburbs,7.2452,1,0.842,183.92,1,0.063,Monde De Fou
82,SOQQVQJ12AB0185192,573,Live Inferno,ARYPWUK1187B98ACED,Emperor,0.6199,9,0,89.867,4,0.476,Opus a Satana (Part 2)
83,SODRHHD12AB0189F2A,448,Vendredi 13 - 1981,ARW63KF1187B98AC48,Julien Clerc,2.6395,2,0.633,119.896,5,0.921,This Melody (Live)
84,SOQGFVO12A8C13C8C3,285,Unconditional Love,AR8H87D1187FB3A841,Glen Campbell,2.7587,1,0.62,137.29,4,0,I'm Gone This Time
85,SORABMD12A8C136672,68,The Very Best Of,ARLWR721187B9A03C9,T.G. Sheppard,4.1154,5,1,82.343,1,0.387,You Feel Good All Over
86,SOTUBVH12AB018D2EC,272,Country Lovers. Vol. 3,ARF4V431187FB3AA41,Slim Whitman,5.9179,3,0.883,91.487,4,0,Indian Love Call
87,SOMQAGT12A8C132DB4,780,Affirmation,ARBGWMW1187B9AEA3E,Savage Garden,8.3342,9,0,84.69,5,0.678,You Can Still Be Free
88,SOKLLOH12A67020F2C,91,Lullabies To Paralyze,AR6G4V01187B9AD086,Queens Of The Stone Age,8.4175,2,0.08,115.606,4,0,I Never Came
89,SONRLQH12AB017C232,978,It's War Again,ARVQ4QM1187B98AD95,Hank Penny & The Lincoln Penny Orchestra,3.2191,7,0.278,126.523,1,0,Dixie
90,SODDZAD12A6701DC4C,30,The Singles,AR9AM2N1187B9AD2F1,Inspiral Carpets,3.7677,2,0.823,113.677,4,1,Commercial Reign
91,SORENXV12A6701F61F,6,What You Thought You Heard,AR9XEVF1187B99D017,Borialis,9.307,2,0.569,86.938,4,0.222,Hourglass
92,SOYMMDY12AB01825B2,533,Daddy Don't Disco,ARCFOZ71187FB43A0D,The Dirty Skirts,6.7587,0,0.613,141.936,4,0.634,Wake
93,SOJWQIP12A6D4F710A,93,15 Exitos Vol. 2 Flor Silvestre,ARHFEBO11F50C4825A,Flor Silvestre,4.8175,11,0.847,106.049,1,0,Caricia Y Herida
94,SOOVOKS12AB017EE57,158,Le top du p\xc3\xa8re N\xc3\xb6el,AR107SB1187B9A79F9,B\xc3\xa9zu,5.6485,8,0.508,126.88,4,0,Le tortillard
95,SORWHWY12A6702038E,5,Malpractice,ARXWAQQ1187B9AE954,Redman,4.1856,1,0.074,85.008,5,1,WKYA (drop)
96,SOGYYLE12A8C13E5EA,705,20 Suosikkia / Rilluttele y\xc3\xb6,ARL6XZC1187FB3936E,Solistiyhtye Suomi,4.086,4,0.718,133.699,1,0,Ter\xc3\xa4slintu
97,SOITUXQ12AB0183AE9,967,The Fabulous Eddie Cantor,ARSDSMG1187B98CB59,Eddie Cantor,5.6109,11,0.599,118.975,1,0.003,Now's The Time To Fall In Love
98,SOTWEZZ12A8C142B60,599,Grim Prospects Remixes - Grim Prospects Will Never End,AR3WMW01187B9921F7,Schizoid,5.4085,9,0.376,102.408,4,0.395,Grim Prospects (Gross Prospects - Bad Trip Remix)
99,SOUVRGZ12A58A77F90,504,The Incredible Kai Winding Trombones,AR3C3C01187B98E800,Kai Winding,3.477,0,0,112.006,4,0.844,Mangos
100,SOBLTSM12A6D4F9EEA,561,Staying on the Watch,ARDD9UN1187B98D3A7,Sonny Simmons,3.2452,1,0,45.527,4,0,A Distant Voice
101,SOUQVUD12A8C142DCE,371,Openbare Weg,ARJGNV61187B98F3B5,Mira,7.815,4,0.695,85.621,4,0.612,Openbare Weg
102,SOCRPDR12AB0185B75,90,Tip World Singles 2000,ARSVI4L1187B996181,Citizen Kaned,5.3317,8,0.822,108.061,4,1,President Johnson
103,SOXVBVL12AF72A600C,194,Praise Him...Live!,ARVJ0JK1187B98C9C0,The Brooklyn Tabernacle Choir,4.4403,7,0.558,216.195,5,1,Lead Me Lord
104,SOIQHDR12AB01896C8,644,Spontanous Combustion,AR4PCIG1187B98D07D,Ellen McIlwaine,5.1211,7,0.699,132.428,4,0.281,Spontanous Combustion
105,SODLSHA12AAF3B29F2,240,From All Sides,AR1RHCO1187B9AF0BF,Vince Guaraldi / Bola Sete,4.6607,5,0.238,168.307,4,0,Choro
106,SOAGHMH12AB0180285,666,Maurice Chevalier  The Essential Collection Vol 1,AR1X2H01187B98CCF2,Maurice Chevalier,3.2011,0,0.371,140.956,7,0.866,Ma Louise
107,SORAVUP12AB018556E,837,Dave Pearce Best of the Dance Years 1988 - 1992,ARBQBZV1187B99D29E,Carl Cox Vs Yousef,7.8248,1,0.485,130.016,5,1,I Want You (Forever)
108,SOFXNQP12AB0184F1A,418,The Equinox,AR9ODB41187FB459B2,Organized Konfusion,8.347,11,0.306,175.769,4,0.7,Hate
109,SOGQTRZ12A8C13C8B0,761,Timeless,ARF3GX71187FB3EB66,Martina McBride,1.9554,7,0.96,100.194,3,1,I Can't Stop Loving You
110,SOBHVZQ12AC9618285,453,Feel Good All Over: Anthology 1970-1976,AR3PN3R1187FB4CEBD,Horace Andy,6.2738,2,0.171,151.911,4,0.231,Thank You Lord
111,SOYPBCY12AB0181EF3,447,13th And Pine,ARYWCFZ11E2835CFDD,Nazz,0.8909,9,0.606,119.691,4,0.491,How Can You Call That Beautiful (Stewkey Vocal)
112,SOWRLSY12AC4687694,965,Call Tyrone,ARUT16P1187FB532A4,Tyrone Davis,5.9113,10,0.46,161.976,4,0.696,Cheatin' In The Next Room
113,SOOGQWR12A8C142505,212,Final Vinyl,AREOGMA1187B9908EF,Hot Tuna,9.5946,0,0.601,172.398,1,0,Candy Man
114,SOJDYQY12AB0188C97,702,Fifteen Poems By Dylan Thomas,AR4ABL21187FB3913A,Richard Burton,1.4934,2,0.45,109.823,3,0.659,I See The Boys Of Summer
115,SOBHQUF12AB018B03E,285,The Early Tapes 1975-1976,AR8YV1I1187FB45D2B,Rory Block,6.0566,1,0.936,90.101,1,0,Three Is a Crowd
116,SOFRAZJ12A8C143CDB,348,Legacy,ARR9XGB1187B9912E6,Boyz II Men,9.273,8,0.497,116.473,4,1,On Bended Knee
117,SONNDHT12A8C13F20B,994,Louie Bluie Film Soundtrack,ARBKUS51187B98A3AC,Howard Armstrong,8.92,9,0,126.821,4,0,My Four Reasons
118,SOYZOXW12A8C13E195,693,Donny Hathaway,ARTB5PP1187FB523B7,Donny Hathaway,3.2191,2,0.499,111.191,3,0.851,Little Girl (LP Version)
119,SOSGJTX12AB0181F7C,480,Canciones De Amor De Miguel Gallardo,ARXFQDY1187B9AAF1E,Miguel Gallardo,8.6803,5,0.458,125.508,4,0.462,Eternamente Amame
120,SOBQBWP12AB018611B,196,Irfan_ le h\xc3\xa9ros,ARVEJ9M1187FB4DC44,Les Ogres De Barback,4.0664,4,0.446,137.888,1,0,Niev nietch nievitch
121,SODULLV12AB017FA09,238,What up Detroit,ARTHEAP122BCFCD0B2,DJ X-Change featuring DJ Joey A,4.3195,6,0,150.012,4,0,Come Over
122,SOYAGJM12A8C13DCCE,479,Peterbilt Angel,ARQESNI1187FB511EE,Morel,1.4052,10,0.685,108.367,4,0.36,Blue Taxi
123,SORXUZZ12A8AE4798A,832,Homemade Ice-Cream,ARCZ20M1187FB49687,Tony Joe White,2.5334,2,0.243,173.482,4,0.804,I Want Love (Tween You & Me) (Album Version)
124,SOCHXAE12AF72A25D6,254,White Feather,ARDF8K01187FB37200,Wolfmother,2.375,4,0.372,110.745,4,1,White Feather
125,SOCRHCQ12A58A7C8C6,64,Can We Go Home Now,AR11NP91187B9901B4,The Roches,8.3375,2,0.626,130.027,4,0.509,Christlike Roche
126,SOSEJIQ12AB017E7EB,710,In North Carolina,ARBZAIL1187FB5B1C8,Bob Margolin,6.5105,11,0.228,110.168,4,0.92,You Rascal You
127,SOMXWXQ12AC3DFA002,340,Wintertime,ARWXHRS1241B9C7A1E,Thomas Battenstein,5.5832,9,0.825,97.976,3,1,Sympathy
128,SOGMXBW12A6D4FB8D7,819,Electropop,ARV1P811187FB3CFC6,Jupiter Rising,3.462,0,0.373,119.979,4,1,They Say (Album)
129,SOOPUTF12AB018DFAA,834,DUMB: 4-track cassette recordings (1987),ARIU0MA1187B98D36F,Dharma Bums,7.477,6,0.81,156.968,1,0,Simon's Folly
130,SOFDTRZ12AB018DD11,252,The Hit List,ARB4D891187B9954F7,Saafir,4.76,5,0.172,188.886,4,1,Crawl Before You Ball (Album Version)
131,SOOGNJP12A8C1381AD,366,Underneath,ARQOC971187B9910FA,The Verve Pipe,2.832,9,0.295,133.306,4,0.338,Medicate Myself
132,SOFUBCP12A8C13D5EF,798,99 Monkeys,AR19SOA1187B98F6E6,Bob Neuwirth,1.1097,4,0.965,152.267,3,1,Biding Her Time
133,SOVZBDR12A6702012E,4,Nothing Else Matters,ARTDBI61187FB48479,Marvin Sapp,0.6803,1,0.33,166.275,4,0.845,More And More  (LP Version)
134,SOPWKSS12AC468E659,542,A Tribute to The American Horse,ARSE6YI1187B9B9CD2,James Hunter,8.7342,2,0.862,114.971,4,0,Cowboy Ways
135,SOCCQIQ12A8C13C76B,807,Mis Momentos,AR6C8EJ1187FB3F473,Nelson Ned,1.8003,9,0.519,144.651,4,0.142,Brasas Vivas
136,SODBMZD12A8C134232,995,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,AROI96Z1187B9A5304,Mish Mash,4.3277,2,0.64,152.005,1,0.605,Kolomeyke
137,SOBUWPY12A8C1446C0,913,In this Life,ARIOSKN1257509BCE1,Cama,0.3636,1,0.645,155.074,1,0,In This Life
138,SORWXUP12A58A79E65,692,Best Of Maxi Priest,ARI0PUX1187FB3F215,Maxi Priest,1.8183,10,0.683,61.971,1,0.397,Groovin' In The Midnight
139,SOJEVZW12A8C133988,355,Signify (Special Edition),ARYO9BU1187B9ADA88,Porcupine Tree,6.8093,6,0.644,124.04,5,0.82,Waiting
140,SOOODKC12AB018462F,981,Bravo Alayki Rare recording,ARZ507V1187FB4425E,Ragheb Alama,3.3611,7,0.056,191.196,4,0,A'chek Ouyounik (2009 Digital Remaster)
141,SODOLVO12B0B80B2F4,99,In Your Honor,AR6XPWV1187B9ADAEB,Foo Fighters,7,7,0.458,152.127,4,0.651,Hell
142,SOEHWGF12A6D4F8B2B,217,Essential R&B Hit Selection,AR6PJ8R1187FB5AD70,Shakira Featuring Wyclef Jean,7.3644,10,0.805,100.023,4,0.937,Hips Don't Lie (featuring Wyclef Jean)
143,SOOZLTC12A6D4FBE91,434,20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,AR4CG3B1187FB5B861,The Avengers,2.7228,10,0,192.688,4,0.671,Juoksuhauta-twist (El\xc3\xa4m\xc3\xa4 juoksuhaudoissa)
144,SOOSYMY12AB01888CD,251,Talk To Your Daughter,AR7BMMV1187FB5B2D7,Robben Ford,3.9897,11,0.236,154.322,4,0,I Got Over It (Album Version)
145,SOPBKEB12A6D4FD777,702,American Songbook - Bacharach,AREYIHC1187B99CE0B,Brazilian Tropical Orchestra,2.4436,5,0.084,236.006,4,0.761,One Less Bell To Answer
146,SOEWQYW12AB0183FDE,715,Nha Vit\xc3\xb3ria,AREEMIN11F4C848971,Gil Semedo,5.3611,11,0.321,150.666,5,1,Festa
147,SOFBQIA12AB0182219,223,Gira Me Ver\xc3\xa1s Volver,ARBJSO81187B9BA09B,Soda Stereo,5.1228,11,0,175.421,1,0,Te Hacen Falta Vitaminas
148,SOHDDHR12AB0183552,748,Scarcity,ARBGJLS11F4C83D4B9,Xmilk,3.6632,9,0.138,104.153,4,0.072,Sense And Trick
149,SONWQQX12AC3DF6762,601,Fire,ARVNDLR1187B99CA1B,Dolce; Oscar G.,5.1652,11,0.386,127.278,4,0.22,Fire (Oscar G Space Vocal Mix)
150,SOGXFIF12A58A78CC4,694,Hanging On (Premiere Performance Plus Track),AR5LZJD1187FB4C5E5,Britt Nicole,4.0681,6,0.606,160.165,4,1,Hanging On (Medium Key Performance Track Without Background Vocals)
151,SOIPNSZ12A8C144128,726,Grim Prospects Remixes - Prospects Are Getting Grimmer,AR3WMW01187B9921F7,Schizoid,6.0077,5,0.441,86.091,3,1,Grim Prospects (Version 2 Remix)
152,SOEXSIN12A8C133B0A,171,Snowflakes,ARAEX7Y1187FB42D36,Toni Braxton Featuring Shaggy,9.0101,0,0.782,149.94,4,0.128,Christmas In Jamaica
153,SOTSMNJ12AB018365E,299,The Out Sound From Way In!,ARK2G5U1187FB46B34,Perrey And Kingsley,7.947,0,0.655,135.78,4,0.087,Gossippo Perpetuo
154,SOLGRUN12A8C140543,64,El Fuego De Dentro,ARTB56G11C8A41569D,Sven Tasnadi,0.9056,7,0.792,122.967,4,1,2190 Dias Contigo
155,SOQCHGV12AC4688FC6,942,No Control,AR0GGKI1187FB391D5,Eddie,0.0077,9,0.858,142.024,4,0.966,No Control
156,SOXCWTT12AC9075756,536,Pentagrammaton,ARZEWUR1187FB53DC8,Enthroned,0.744,2,0.735,135.535,7,0.583,The Vitalized Shell
157,SOAFIPD12A8C13A261,892,Pianissimo,AR89DTT1187B9A7ED5,Suzanne Ciani,2.2085,2,0.523,139.189,3,0.418,Mozart
158,SOMJPML12A8C13D74E,227,Milan Milan,ARTHKKA122BCFCBF58,Milan Band,2.032,8,0.656,128.598,5,0.197,Ciao Milan
159,SOCVDYI12AC4687DDB,516,Auralux Reggae Showcase,ARJDMBO1187B9AD118,Johnny Osbourne,5.3007,3,0.445,163.445,4,0.015,Lend Me Your Chopper
160,SOEVGMZ12A8C1421B5,472,Heaven,ARYJSY01187B9B7C65,Dolly Parton,5.2191,7,0,114.027,3,1,Letter To Heaven
161,SOCGURJ12AB0182AEE,464,Up Above My Head,AR77FBJ1187FB49D8D,Rance Allen Group,7.1244,7,0.662,111.316,1,0,Heaven is Where The Heart Is
162,SOHTWLT12A8C13CFE1,765,Pearl Jam,ARFVYJI1187B9B8E13,Pearl Jam,8.5644,4,0.743,105.994,3,1,Inside Job
163,SOVQZYP12A8C144692,489,Take A Look,ARBM4TC1187FB5CE98,Natalie Cole,5.782,8,0.015,88.489,1,0.249,Take A Look  (LP Version)
